Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2,Temporal_Class
gene-b0629,host,ybeF,5.337538079701318,3.2188758248682006,4.927253685157205,3.295836866004329,4.31748811353631,2.3978952727983707,3.912023005428146,0.6931471805599453,3.912023005428146,1.0986122886681098,4.68213122712422,1.3862943611198906,early
gene-b2919,host,scpB,4.143134726391533,2.6390573296152584,4.290459441148391,2.5649493574615367,3.713572066704308,1.9459101490553132,3.5553480614894135,1.3862943611198906,3.7376696182833684,1.6094379124341003,4.532599493153256,0.0,late
gene-b4301,host,sgcE,4.382026634673881,2.9444389791664403,4.663439094112067,3.332204510175204,3.4011973816621555,2.4849066497880004,3.713572066704308,1.3862943611198906,3.784189633918261,0.6931471805599453,4.8283137373023015,1.0986122886681098,late
gene-b3294,host,rplQ,10.251252923844916,9.543879740512757,11.010828303768077,9.966650127493768,9.679843876180236,9.475776835480644,9.1503780308035,8.273336598504486,9.262932822095353,7.918992488165245,8.789812386190972,7.9966538754626075,early
gene-b1834,host,letB,7.27655640271871,5.8944028342648505,7.382124365737512,6.386879319362645,5.627621113690637,5.0689042022202315,5.14166355650266,3.8066624897703196,5.356586274672012,3.5553480614894135,5.7745515455444085,3.4011973816621555,early
gene-b2189,host,proL,8.754476306284166,4.962844630259907,7.344719054149673,4.276666119016055,6.854354502255021,4.174387269895637,6.025865973825314,2.8903717578961645,7.061334366910438,3.258096538021482,7.026426808699636,3.4339872044851463,early
gene-b0801,host,hcxB,7.113956109566034,6.169610732491456,7.204892510204673,6.391917113392602,5.968707559985366,6.025865973825314,4.90527477843843,4.543294782270004,4.867534450455582,3.4965075614664802,5.365976015021851,3.6635616461296463,early
gene-b2489,host,hyfI,4.90527477843843,2.0794415416798357,4.30406509320417,2.995732273553991,4.30406509320417,1.6094379124341003,4.394449154672439,2.0794415416798357,4.51085950651685,0.6931471805599453,5.049856007249537,1.0986122886681098,late
gene-b0606,host,ahpF,7.96311205897929,7.273092595999522,8.39795910349254,7.15305163493748,6.42648845745769,6.161207321695077,9.23620303150191,4.8283137373023015,5.438079308923196,4.30406509320417,5.6240175061873385,4.584967478670572,middle
gene-b2214,host,ftp,6.0867747269123065,3.5553480614894135,5.918893854273146,4.8283137373023015,4.700480365792417,4.060443010546419,4.04305126783455,3.367295829986474,4.31748811353631,2.0794415416798357,5.14166355650266,2.4849066497880004,early
gene-b0817,host,mntR,5.958424693029782,5.749392985908253,5.318119993844216,5.41610040220442,4.343805421853684,4.442651256490317,3.9318256327243257,3.332204510175204,3.6888794541139363,2.833213344056216,4.31748811353631,2.4849066497880004,early
